4 3 6 1 7 5 0 2 8 9 | 65
3 7 9 1 4 6 5 0 2 8 | 70
1 4 7 8 0 9 6 5 3 2 | 80
2 6 8 5 4 7 3 9 0 1 | 90
8 3 9 7 6 4 0 1 5 2 | 47
4 5 8 1 2 0 3 7 6 9 | 70
2 1 3 0 4 7 5 9 6 8 | 68
1 3 2 5 6 4 0 9 7 8 | 63
6 1 5 3 9 7 8 2 4 0 | 75
0 1 6 4 7 5 2 3 8 9 | 65
8 7 0 3 2 4 6 5 1 9 | 71
0 1 7 3 2 5 9 8 4 6 | 93
2 8 6 7 9 3 1 0 5 4 | 65
7 2 5 1 4 8 3 0 6 9 | 74
7 4 2 6 3 1 8 9 5 0 | 88
6 4 7 8 1 2 0 9 5 3 | 71
5 3 0 6 8 7 4 2 1 9 | 79
9 7 6 0 1 5 4 8 3 2 | 76
7 9 3 2 6 1 8 0 4 5 | 62
5 3 2 0 4 1 6 7 9 8 | 57
0 1 8 3 9 5 6 7 4 2 | 95
9 6 2 7 5 1 0 3 4 8 | 71
1 8 0 4 3 9 6 7 2 5 | 74
0 7 5 8 4 6 2 9 1 3 | 77
1 0 5 3 6 9 7 8 4 2 | 85
5 0 1 7 2 4 6 9 3 8 | 60
3 1 8 9 0 7 5 4 6 2 | 88
6 8 7 0 3 1 5 9 4 2 | 74
6 1 2 7 5 4 3 9 8 0 | 82
0 3 1 9 6 8 7 4 5 2 | 87
5 4 6 3 1 0 8 2 7 9 | 59
4 2 9 1 0 5 8 6 7 3 | 75
8 5 0 3 9 7 1 6 4 2 | 89
7 1 3 4 9 5 6 0 2 8 | 74
9 0 8 1 2 5 4 3 7 6 | 77
4 6 1 0 5 8 3 7 2 9 | 70
3 6 5 4 9 8 1 7 2 0 | 62
8 6 7 9 2 1 4 5 0 3 | 59
6 9 1 3 7 0 4 5 8 2 | 73
0 2 1 4 8 6 9 7 3 5 | 60
6 1 9 4 2 5 3 7 0 8 | 80
0 1 2 7 9 5 6 8 3 4 | 76
3 2 6 0 8 4 1 9 5 7 | 68
7 4 6 3 9 5 2 1 0 8 | 65
8 7 6 9 5 4 0 3 1 2 | 51
3 1 2 7 9 5 4 0 8 6 | 84
0 7 8 9 4 6 5 1 2 3 | 77
0 7 3 6 9 5 1 8 4 2 | 86
9 7 2 1 0 5 6 3 8 4 | 77
8 3 6 9 4 5 1 7 0 2 | 57
9 4 2 6 3 8 0 7 5 1 | 76
2 6 1 0 3 5 8 4 9 7 | 74
4 7 1 3 2 0 6 8 5 9 | 79
3 1 2 6 8 4 5 7 9 0 | 90
1 8 3 5 9 7 4 0 2 6 | 78
0 9 3 8 2 5 6 4 1 7 | 82
5 1 0 4 3 7 9 6 8 2 | 64
9 1 2 3 4 6 8 5 0 7 | 75
6 1 2 9 5 4 3 8 0 7 | 76
7 4 2 3 1 5 0 6 8 9 | 81
2 8 1 3 4 9 0 5 6 7 | 75
3 1 5 7 4 8 2 9 6 0 | 78
9 0 2 8 3 5 1 4 7 6 | 78
7 8 3 1 5 4 6 9 0 2 | 60
8 5 6 2 7 9 1 4 0 3 | 71
9 0 5 3 4 1 8 7 6 2 | 89
9 7 5 3 2 1 6 0 4 8 | 75
3 0 2 8 5 9 6 1 4 7 | 82
1 5 4 0 7 3 2 9 8 6 | 65
9 8 2 4 5 0 7 3 1 6 | 81
8 2 9 6 4 5 0 7 3 1 | 72
2 3 6 0 8 7 1 5 9 4 | 81
0 6 7 3 9 1 4 8 5 2 | 75
7 1 9 2 3 0 5 6 8 4 | 82
9 3 4 6 0 1 7 5 8 2 | 63
1 2 4 3 5 0 8 7 6 9 | 71
3 8 7 5 4 0 6 1 9 2 | 64
3 9 2 0 7 6 8 4 5 1 | 62
6 2 7 4 0 1 5 9 8 3 | 65
6 1 3 0 4 5 2 7 8 9 | 62
3 9 6 8 0 4 7 2 5 1 | 54
1 8 2 3 6 0 7 5 4 9 | 83
5 8 4 1 2 7 9 0 3 6 | 72
8 1 7 2 6 9 3 4 0 5 | 64
0 9 2 6 4 7 1 8 5 3 | 69
9 3 0 6 2 1 4 7 5 8 | 59
2 0 9 6 5 7 8 1 3 4 | 74
7 1 2 8 5 4 3 0 9 6 | 74
1 6 4 3 7 0 8 9 5 2 | 71
4 6 8 3 1 7 2 5 0 9 | 85
7 9 8 6 3 2 4 0 1 5 | 44
3 6 8 2 4 7 0 5 1 9 | 76
9 8 4 7 1 6 5 0 2 3 | 75
0 6 7 3 4 5 9 2 8 1 | 69
2 6 7 0 8 1 3 5 9 4 | 76
4 5 7 3 0 2 6 1 9 8 | 71
0 7 6 5 4 3 9 1 2 8 | 69
0 6 9 7 1 8 4 3 5 2 | 81
9 0 1 3 4 6 5 8 2 7 | 77
2 1 4 5 0 8 6 9 3 7 | 58
